month,year,month_num,volume_million,value_crore_inr,p2p_volume_million,p2m_volume_million,p2p_value_crore,p2m_value_crore,active_banks
January,2024,1,12189,18.41,5820,6369,10920,7490,573
February,2024,2,12101,18.28,5780,6321,10870,7410,576
March,2024,3,13441,19.78,6412,7029,11760,8020,580
April,2024,4,13302,20.37,6350,6952,12080,8290,582
May,2024,5,14036,20.44,6700,7336,12120,8320,585
June,2024,6,13886,21.55,6625,7261,12800,8750,587
July,2024,7,14439,20.64,6890,7549,12260,8380,589
August,2024,8,14962,21.07,7138,7824,12510,8560,591
September,2024,9,15044,23.49,7180,7864,14000,9490,593
October,2024,10,16580,23.49,7916,8664,13950,9540,595
November,2024,11,15480,21.55,7390,8090,12810,8740,597
December,2024,12,16733,23.25,7990,8743,13820,9430,599
